Итерация 360: -0,2698   -0,1988   16,7591   
Итерация 361: -0,3857   -0,2582   16,7152   
Итерация 362: -0,3035   -0,2155   16,736   
Итерация 363: -0,4078   -0,2691   16,6998   
Итерация 364: -0,3333   -0,2302   16,7154   
Итерация 365: -0,2394   -0,1817   16,7447   
Итерация 366: -0,3601   -0,2434   16,697   
Итерация 367: -0,2755   -0,1996   16,72   
Итерация 368: -0,3835   -0,255   16,6807   
Итерация 369: -0,3072   -0,2153   16,6982   
Итерация 370: -0,404   -0,2652   16,6663   
Итерация 371: -0,335   -0,2291   16,6789   
Итерация 372: -0,2481   -0,1841   16,7043   
Итерация 373: -0,3598   -0,2413   16,6618   
Итерация 374: -0,2818   -0,2008   16,6812   
Итерация 375: -0,3814   -0,252   16,6467   
Итерация 376: -0,3112   -0,2154   16,6609   
Итерация 377: -0,2222   -0,1695   16,6883   
Итерация 378: -0,3373   -0,2284   16,6429   
Итерация 379: -0,2578   -0,1872   16,664   
Итерация 380: -0,36   -0,2396   16,6271   
Итерация 381: -0,2887   -0,2025   16,6427   
Итерация 382: -0,3796   -0,2492   16,6133   
Итерация 383: -0,3156   -0,2158   16,6241   
Итерация 384: -0,2346   -0,1741   16,6468   
Итерация 385: -0,3392   -0,2276   16,6077   
Итерация 386: -0,2671   -0,1902   16,6246   
Итерация 387: -0,3597   -0,2377   16,5934   
Итерация 388: -0,2951   -0,2041   16,6052   
Итерация 389: -0,2131   -0,1619   16,6294   
Итерация 390: -0,3197   -0,2163   16,5882   
Итерация 391: -0,2469   -0,1787   16,6063   
Итерация 392: -0,3408   -0,2267   16,5735   
Итерация 393: -0,276   -0,1931   16,5862   
Итерация 394: -0,1932   -0,1506   16,6117   
Итерация 395: -0,3015   -0,2057   16,5687   
Итерация 396: -0,2283   -0,168   16,5878   
Итерация 397: -0,3232   -0,2165   16,5536   
Итерация 398: -0,2584   -0,183   16,5671   
Итерация 399: -0,3417   -0,2256   16,5406   
Итерация 400: -0,284   -0,1957   16,5493   
Итерация 401: -0,2107   -0,158   16,5692   
Итерация 402: -0,3063   -0,2067   16,5338   
Итерация 403: -0,2416   -0,1733   16,548   
Итерация 404: -0,3252   -0,216   16,5206   
Итерация 405: -0,2679   -0,1864   16,5298   
Итерация 406: -0,1947   -0,1488   16,5504   
Итерация 407: -0,2906   -0,1976   16,5141   
Итерация 408: -0,2263   -0,1645   16,5288   
Итерация 409: -0,3097   -0,2071   16,5007   
Итерация 410: -0,2531   -0,1778   16,5103   
Итерация 411: -0,1804   -0,1405   16,5314   
Итерация 412: -0,276   -0,1892   16,4945   
Итерация 413: -0,2125   -0,1565   16,5094   
Итерация 414: -0,2953   -0,1987   16,481   
Итерация 415: -0,2395   -0,1699   16,4908   
Итерация 416: -0,1677   -0,1331   16,512   
Итерация 417: -0,2626   -0,1814   16,4748   
Итерация 418: -0,2001   -0,1492   16,4899   
Итерация 419: -0,2819   -0,1909   16,4613   
Итерация 420: -0,2273   -0,1627   16,4712   
Итерация 421: -0,1566   -0,1266   16,4924   
Итерация 422: -0,2503   -0,1742   16,4553   
Итерация 423: -0,1891   -0,1428   16,4702   
Итерация 424: -0,2695   -0,1837   16,4419   
Итерация 425: -0,2162   -0,1562   16,4516   
Итерация 426: -0,147   -0,1209   16,4726   
Итерация 427: -0,2391   -0,1676   16,4358   
Итерация 428: -0,1794   -0,137   16,4505   
Итерация 429: -0,258   -0,177   16,4226   
Итерация 430: -0,2063   -0,1504   16,432   
Итерация 431: -0,139   -0,116   16,4525   
Итерация 432: -0,2289   -0,1616   16,4164   
Итерация 433: -0,171   -0,132   16,4307   
Итерация 434: -0,2474   -0,1708   16,4035   
Итерация 435: -0,1975   -0,1451   16,4125   
Итерация 436: -0,1323   -0,1119   16,4323   
Итерация 437: -0,2196   -0,1561   16,3973   
Итерация 438: -0,1638   -0,1276   16,4109   
Итерация 439: -0,2376   -0,1651   16,3846   
Итерация 440: -0,1897   -0,1404   16,3931   
Итерация 441: -0,127   -0,1085   16,412   
Итерация 442: -0,2111   -0,1511   16,3783   
Итерация 443: -0,1577   -0,1237   16,3911   
Итерация 444: -0,2286   -0,1598   16,3661   
Итерация 445: -0,1828   -0,1362   16,3739   
Итерация 446: -0,1228   -0,1056   16,3917   
Итерация 447: -0,2034   -0,1465   16,3596   
Итерация 448: -0,1525   -0,1204   16,3715   
Итерация 449: -0,2202   -0,1548   16,3478   
Итерация 450: -0,1766   -0,1324   16,3548   
Итерация 451: -0,1196   -0,1034   16,3715   
Итерация 452: -0,1964   -0,1423   16,3412   
Итерация 453: -0,1482   -0,1176   16,352   
Итерация 454: -0,2124   -0,1502   16,33   
Итерация 455: -0,1712   -0,129   16,3361   
Итерация 456: -0,1173   -0,1016   16,3514   
Итерация 457: -0,19   -0,1384   16,3231   
Итерация 458: -0,1445   -0,1151   16,3328   
Итерация 459: -0,2051   -0,1459   16,3125   
Итерация 460: -0,1664   -0,126   16,3178   
Итерация 461: -0,1157   -0,1001   16,3316   
Итерация 462: -0,1841   -0,1348   16,3055   
Итерация 463: -0,1415   -0,113   16,314   
Итерация 464: -0,1982   -0,1418   16,2955   
Итерация 465: -0,162   -0,1232   16,2998   
Итерация 466: -0,1147   -0,099   16,3121   
Итерация 467: -0,1786   -0,1314   16,2883   
Итерация 468: -0,1389   -0,1111   16,2956   
Итерация 469: -0,0861   -0,0842   16,3122   
Итерация 470: -0,1583   -0,1207   16,2822   
Итерация 471: -0,1144   -0,0983   16,2929   
Итерация 472: -0,1735   -0,1283   16,2716   
Итерация 473: -0,1368   -0,1095   16,2776   
Итерация 474: -0,0881   -0,0847   16,2921   
Итерация 475: -0,1547   -0,1184   16,2652   
Итерация 476: -0,1144   -0,0978   16,2743   
Итерация 477: -0,1687   -0,1253   16,2554   
Итерация 478: -0,135   -0,108   16,2601   
Итерация 479: -0,0903   -0,0853   16,2727   
Итерация 480: -0,1513   -0,1161   16,2488   
Итерация 481: -0,1143   -0,0972   16,2563   
Итерация 482: -0,164   -0,1224   16,2399   
Итерация 483: -0,1331   -0,1066   16,2433   
Итерация 484: -0,0924   -0,0858   16,2539   
Итерация 485: -0,1479   -0,1139   16,233   
Итерация 486: -0,1143   -0,0967   16,239   
Итерация 487: -0,0692   -0,0738   16,253   
Итерация 488: -0,1314   -0,1053   16,2272   
Итерация 489: -0,0946   -0,0865   16,2358   
Итерация 490: -0,1446   -0,1118   16,2179   
Итерация 491: -0,1143   -0,0962   16,2223   
Итерация 492: -0,0737   -0,0756   16,234   
Итерация 493: -0,1296   -0,1039   16,2117   
Итерация 494: -0,0965   -0,087   16,2185   
Итерация 495: -0,1413   -0,1097   16,2035   
Итерация 496: -0,114   -0,0956   16,2065   
Итерация 497: -0,0777   -0,0772   16,216   
Итерация 498: -0,1275   -0,1024   16,1971   
Итерация 499: -0,0979   -0,0872   16,2022   
Итерация 500: -0,058   -0,067   16,2146   
Итерация 501: -0,1135   -0,095   16,1914   
Итерация 502: -0,0813   -0,0786   16,1988   
Итерация 503: -0,1253   -0,1008   16,1831   
Итерация 504: -0,099   -0,0874   16,1866   
Итерация 505: -0,0638   -0,0694   16,1965   
Итерация 506: -0,1125   -0,0941   16,1772   
Итерация 507: -0,0841   -0,0796   16,1827   
Итерация 508: -0,1227   -0,0992   16,17   
Итерация 509: -0,053   -0,0633   16,1762   
Итерация 510: -0,099   -0,0865   16,1575   
Итерация 511: -0,0725   -0,073   16,163   
Итерация 512: -0,1088   -0,0913   16,1507   
Итерация 513: -0,0872   -0,0803   16,1529   
Итерация 514: -0,0584   -0,0657   16,1603   
Итерация 515: -0,0983   -0,0858   16,1451   
Итерация 516: -0,0752   -0,074   16,1489   
Итерация 517: -0,0438   -0,0581   16,1584   
Итерация 518: -0,0878   -0,0803   16,1401   
Итерация 519: -0,0629   -0,0676   16,1455   
Итерация 520: -0,0971   -0,0849   16,1336   
Итерация 521: -0,0771   -0,0746   16,1358   
Итерация 522: -0,0501   -0,0609   16,1429   
Итерация 523: -0,0877   -0,0799   16,1284   
Итерация 524: -0,0662   -0,069   16,132   
Итерация 525: -0,037   -0,0541   16,1411   
Итерация 526: -0,0782   -0,0749   16,1237   
Итерация 527: -0,0552   -0,0632   16,1287   
Итерация 528: -0,087   -0,0793   16,1175   
Итерация 529: -0,0686   -0,0699   16,1195   
Итерация 530: -0,0439   -0,0572   16,1261   
Итерация 531: -0,0785   -0,0748   16,1126   
Итерация 532: -0,059   -0,0648   16,1158   
Итерация 533: -0,0322   -0,0512   16,1242   
Итерация 534: -0,0701   -0,0703   16,1082   
Итерация 535: -0,0493   -0,0596   16,1127   
Итерация 536: -0,0782   -0,0743   16,1025   
Итерация 537: -0,0616   -0,0658   16,1042   
Итерация 538: -0,0393   -0,0544   16,1101   
Итерация 539: -0,0706   -0,0703   16,0979   
Итерация 540: -0,0531   -0,0613   16,1006   
Итерация 541: -0,0292   -0,0491   16,1079   
Итерация 542: -0,0632   -0,0663   16,0936   
Итерация 543: -0,0447   -0,0568   16,0974   
Итерация 544: -0,0704   -0,0699   16,0885   
